,refID,doi,pubmed_id,title,authors,journal,year,month,day,FullText,pub_decade,Reported_SiC,Reported_Category,Reported_Data
1,"Abbott, J 2024",10.1016/j.biomaterials.2024.122543,38547834.0,Planar amorphous silicon carbide microelectrode arrays for chronic recording in rat motor cortex.,"Abbott, JR and Jeakle, EN and Haghighi, P and Usoro, JO and Sturgill, BS and Wu, Y and Geramifard, N and Radhakrishna, R and Patnaik, S and Nakajima, S and Hess, J and Mehmood, Y and Devata, V and Vijayakumar, G and Sood, A  and Doan, Thai TT and Dogra, K and Hernandez-Reynoso, AG and Pancrazio, JJ and Cogan, SF",Biomaterials,2024,3.0,21.0,Y,2020,['a-SiC'],['Neural'],"['Animal', 'Fabrication', 'Benchtop']"
2,"Abbott, J 2025",10.1088/1741-2552/adee49,40639398.0,Electrochemical stability and neural recording with sputtered ruthenium oxide electrodes subchronically in rat motor cortex.,"Abbott, JR and Jeakle, EN and Wu, Y and Smith, TJ and Geramifard, N and Chakraborty, B and Khajehzadeh, M and Dhananjayan, S and Hernandez-Reynoso, AG and Pancrazio, JJ and Cogan, SF",Journal of Neural Engineering,2025,7.0,21.0,Y,2020,['a-SiC'],['Neural'],"['Animal', 'Material Properties', 'Fabrication', 'Benchtop']"
13,"Babaroud, N 2020",10.1109/EMBC44109.2020.9175646,33018733.0,PDMS-parylene adhesion improvement via ceramic interlayers to strengthen the encapsulation of active neural implants.,"Babaroud, NB and Dekker, R and Serdijn, W and Giagka, V",2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),2020,7.0,,Y,2020,['Other'],['Neural'],"['Material Properties', 'Fabrication']"
15,"Bernardin, E 2018",10.3390/mi9080412,30424345.0,Demonstration of a robust all-silicon-carbide intracortical neural interface.,"Bernardin, EK and Frewin, CL and Everly, R and Ul Hassan, J and Saddow, SE",Micromachines,2018,8.0,18.0,Y,2010,"['a-SiC', '4H-SiC']",['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
17,"Beygi, M 2019",10.3390/mi10070430,31261887.0,Fabrication of a monolithic implantable neural interface from cubic silicon carbide.,"Beygi, M and Bentley, JT and Frewin, CL and Kuliasha, CA and Takshi, A and Bernardin, EK and La Via, F and Saddow, SE",Micromachines,2019,6.0,29.0,Y,2010,"['a-SiC', '3C-SiC']",['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
18,"Beygi, M 2021",10.3390/mi12020126,33530350.0,Silicon carbide and MRI: towards developing a MRI safe neural interface.,"Beygi, M and Dominguez-Viqueira, W and Feng, C and Mumcu, G and Frewin, CL and La Via, F and Saddow, SE",Micromachines,2021,1.0,26.0,Y,2020,"['a-SiC', '3C-SiC']",['Neural'],"['Material Properties', 'Fabrication']"
22,"Bonaventura, G 2019",10.1038/s41598-019-48041-3,31395932.0,Biocompatibility between silicon or silicon carbide surface and neural stem cells.,"Bonaventura, G and Iemmolo, R and La Cognata, V and Zimbone, M and La Via, F and Fragala, ME and Barcellona, ML and Pellitteri, R and Cavallaro, S",Scientific Reports,2019,8.0,8.0,Y,2010,['3C-SiC'],['Neural'],"['Material Properties', 'Fabrication', 'In Vitro']"
39,"Coletti, C 2007",10.1109/IEMBS.2007.4353678,18003344.0,Biocompatibility and wettability of crystalline SiC and Si surfaces.,"Coletti, C and Jaroszeski, MJ and Pallaoro, A and Hoff, AM and Iannotta, S and Saddow, SE",2007 29th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2007,8.0,23.0,Y,2000,"['Other', '3C-SiC', '4H-SiC', '6H-SiC']","['Neural', 'Biosensors']","['Material Properties', 'Fabrication', 'In Vitro']"
40,"Cvancara, P 2019",10.1109/NER.2019.8716920,,3D patterned thin-film electrodes for neural prosthetics-proof of concept.,"Cvancara, P and Newman, S and Stieglitz, T",2019 9th International IEEE/EMBS Conference on Neural Engineering (NER),2019,3.0,,Y,2010,['Other'],['Neural'],"['Material Properties', 'Fabrication', 'Benchtop']"
41,"Cvancara, P 2020",10.1088/1741-2552/ab9a9a,32512544.0,Stability of flexible thin-film metallization stimulation electrodes: analysis of explants after first-in-human study and improvement of in vivo performance.,"Cvancara, P and Boretius, T and  Lopez-Alvarez, VM and Maciejasz, P and Andreu, D and Raspopovic, S and Petrini, F and Micera, S and Granata, G and Fernandez, E and Rossini, PM and Yoshida, K and Jensen, W and Divoux, JL and Guiraud, D and Navarro, X and Stieglitz, T",Journal of Neural Engineering,2020,7.0,10.0,Y,2020,['a-SiC'],['Neural'],"['Animal', 'Human', 'Material Properties', 'Fabrication', 'Benchtop']"
